tarih,urun_kodu,urun_adi,satis_adedi,birim_fiyat,promosyon_var_mi,resmi_tatil_mi,yil,ay,ayin_gunu,haftanin_gunu,hafta_numarasi,ceyrek,hafta_sonu_mu,yaz_mevsimi_mi,fiyat_endeksi,lag_1,lag_7,lag_14,lag_28,hareketli_ortalama_7,hareketli_ortalama_28,hareketli_std_7
2022-02-02,TON80,Ton Balığı Konservesi 80g,866.0,28.1,0,0,2022,2,2,2,5,1,0,0,0.8509993943064809,1005.0,882.0,873.0,944.0,846.1428571428571,831.7857142857143,129.71947755500258
2022-02-02,ZEYTY,Zeytinyağı 1L,341.0,204.95,0,0,2022,2,2,2,5,1,0,0,0.8259949622166246,322.0,334.0,310.0,302.0,315.42857142857144,288.94642857142856,77.19209187228343
2022-02-03,SARDL,Sardalya Konservesi,611.0,23.38,1,0,2022,2,3,3,5,1,0,0,0.8809344385832705,409.0,404.0,402.0,402.5,398.85714285714283,393.0892857142857,56.796210470501734
2022-02-03,SOMON,Somon Konservesi,171.0,66.25,0,0,2022,2,3,3,5,1,0,0,0.8643183300717546,181.0,176.0,204.0,195.0,186.78571428571428,185.32142857142858,54.64572043540795
2022-02-03,TON160,Ton Balığı Konservesi 160g,610.0,48.06,0,0,2022,2,3,3,5,1,0,0,0.8494918250110473,255.6875,645.0,546.0,534.0,558.5982142857143,526.1741071428571,174.70288713218633
2022-02-03,TON80,Ton Balığı Konservesi 80g,942.0,27.51,0,0,2022,2,3,3,5,1,0,0,0.8331314354936402,866.0,854.0,889.0,909.0,843.8571428571429,829.0,129.121943102155
2022-02-03,ZEYTY,Zeytinyağı 1L,284.0,214.96,0,0,2022,2,3,3,5,1,0,0,0.8663375314861461,341.0,306.0,293.0,312.0,316.42857142857144,290.3392857142857,77.51743275517049
2022-02-04,SARDL,Sardalya Konservesi,413.0,21.91,0,0,2022,2,4,4,5,1,0,0,0.8255463451394123,611.0,450.0,471.0,376.0,428.42857142857144,400.5357142857143,98.49848923182735
2022-02-04,SOMON,Somon Konservesi,207.0,64.51,0,0,2022,2,4,4,5,1,0,0,0.841617742987606,171.0,185.0,193.0,230.0,186.07142857142858,184.46428571428572,54.84252347360013
2022-02-04,TON160,Ton Balığı Konservesi 160g,626.0,49.46,0,0,2022,2,4,4,5,1,0,0,0.8742377375165709,610.0,543.0,527.0,473.5,553.5982142857143,528.8883928571429,172.30228651700506
2022-02-04,TON80,Ton Balığı Konservesi 80g,1018.0,27.68,0,0,2022,2,4,4,5,1,0,0,0.8382798304058146,942.0,854.0,942.0,926.0,856.4285714285714,830.1785714285714,134.44807813533697
2022-02-04,ZEYTY,Zeytinyağı 1L,291.0,202.71,0,0,2022,2,4,4,5,1,0,0,0.8169672544080605,284.0,297.0,277.0,282.0,313.2857142857143,289.3392857142857,78.45107665654709
2022-02-05,SARDL,Sardalya Konservesi,370.5,21.84,1,0,2022,2,5,5,5,1,1,0,0.8229088168801809,413.0,347.0,304.0,291.0,423.14285714285717,401.85714285714283,98.14008452450108
2022-02-05,SOMON,Somon Konservesi,148.0,66.23,0,0,2022,2,5,5,5,1,1,0,0.8640574037834312,207.0,141.0,105.0,132.0,189.21428571428572,183.64285714285714,55.39844849125375
2022-02-05,TON160,Ton Balığı Konservesi 160g,392.0,49.07,0,0,2022,2,5,5,5,1,1,0,0.8673442333186036,626.0,425.0,390.0,413.0,565.4553571428571,534.3348214285714,174.295735846366
2022-02-05,TON80,Ton Balığı Konservesi 80g,703.0,28.85,0,0,2022,2,5,5,5,1,1,0,0.8737129012719563,1018.0,643.0,695.0,706.0,879.8571428571429,833.4642857142857,147.60016776348692
2022-02-05,ZEYTY,Zeytinyağı 1L,272.0,211.39,0,0,2022,2,5,5,5,1,1,0,0.8519496221662468,291.0,262.0,245.5,221.0,312.42857142857144,289.6607142857143,78.69107772985265
2022-02-06,SARDL,Sardalya Konservesi,328.0,22.54,0,0,2022,2,6,6,5,1,1,0,0.8492840994724944,370.5,299.0,328.0,347.0,426.5,404.69642857142856,95.46683542815637
2022-02-06,SOMON,Somon Konservesi,113.0,67.2,0,0,2022,2,6,6,5,1,1,0,0.8767123287671232,148.0,128.0,135.0,134.0,190.21428571428572,184.21428571428572,54.437928829430085
2022-02-06,TON160,Ton Balığı Konservesi 160g,484.0,48.54,1,0,2022,2,6,6,5,1,1,0,0.8579761378700839,392.0,566.5,365.0,389.0,560.7410714285714,533.5848214285714,179.10774380626052
2022-02-06,TON80,Ton Balığı Konservesi 80g,580.0,28.74,0,0,2022,2,6,6,5,1,1,0,0.8703815869170198,703.0,714.0,581.0,611.0,888.4285714285714,833.3571428571429,132.52528959014705
2022-02-06,ZEYTY,Zeytinyağı 1L,193.0,214.79,0,0,2022,2,6,6,5,1,1,0,0.8656523929471033,272.0,220.0,214.0,228.0,313.85714285714283,291.48214285714283,77.70763276844937
2022-02-07,SARDL,Sardalya Konservesi,384.0,22.37,0,0,2022,2,7,0,6,1,0,0,0.8428786737000754,328.0,454.0,418.0,423.0,430.64285714285717,404.01785714285717,89.45143667828678
2022-02-07,SOMON,Somon Konservesi,194.0,64.22,0,0,2022,2,7,0,6,1,0,0,0.8378343118069145,113.0,296.5,193.0,176.0,188.07142857142858,183.46428571428572,57.50393361286149
2022-02-07,TON160,Ton Balığı Konservesi 160g,568.0,47.36,0,0,2022,2,7,0,6,1,0,0,0.8371188687582855,484.0,708.0,768.0,529.0,548.9553571428571,536.9776785714286,181.3657486523467
2022-02-07,TON80,Ton Balığı Konservesi 80g,928.0,28.04,0,0,2022,2,7,0,6,1,0,0,0.8491823137492428,580.0,971.0,897.0,884.0,869.2857142857143,832.25,167.090508692858
2022-02-07,ZEYTY,Zeytinyağı 1L,424.0,209.62,1,0,2022,2,7,0,6,1,0,0,0.844816120906801,193.0,467.0,307.0,326.0,310.0,290.23214285714283,83.5902705662168
2022-02-08,SARDL,Sardalya Konservesi,440.0,23.04,0,0,2022,2,8,1,6,1,0,0,0.8681235870384325,384.0,429.0,475.0,410.0,420.64285714285717,402.625,90.31367296157069
2022-02-08,SOMON,Somon Konservesi,174.0,63.58,0,0,2022,2,8,1,6,1,0,0,0.8294846705805609,194.0,200.0,257.0,186.0,173.42857142857142,184.10714285714286,33.210726895874764
2022-02-08,TON160,Ton Balığı Konservesi 160g,556.0,47.69,0,0,2022,2,8,1,6,1,0,0,0.8429518338488731,568.0,767.0,587.0,495.0,528.9553571428571,538.3705357142857,168.1411652478145
2022-02-08,TON80,Ton Balığı Konservesi 80g,944.0,27.66,0,0,2022,2,8,1,6,1,0,0,0.8376741368867352,928.0,1005.0,891.0,971.0,863.1428571428571,833.8214285714286,163.4792836737308
2022-02-08,ZEYTY,Zeytinyağı 1L,282.0,213.7,0,0,2022,2,8,1,6,1,0,0,0.8612594458438286,424.0,322.0,317.0,256.0,303.85714285714283,293.73214285714283,70.71875887727991
2022-02-09,SARDL,Sardalya Konservesi,502.0,23.31,0,0,2022,2,9,2,6,1,0,0,0.8782969103240391,440.0,409.0,454.0,461.0,422.2142857142857,403.69642857142856,90.57862935173017
2022-02-09,SOMON,Somon Konservesi,181.0,67.71,0,0,2022,2,9,2,6,1,0,0,0.8833659491193736,174.0,181.0,255.0,179.0,169.71428571428572,183.67857142857142,31.13258895816558
2022-02-09,TON160,Ton Balığı Konservesi 160g,517.0,49.7,0,0,2022,2,9,2,6,1,0,0,0.8784798939460893,556.0,255.6875,522.0,531.0,498.8125,540.5491071428571,133.7502190418768
2022-02-09,TON80,Ton Balığı Konservesi 80g,866.0,28.22,0,0,2022,2,9,2,6,1,0,0,0.8546335554209569,944.0,866.0,882.0,1002.0,854.4285714285714,832.8571428571429,156.11732462356318
2022-02-09,ZEYTY,Zeytinyağı 1L,297.0,212.12,0,0,2022,2,9,2,6,1,0,0,0.8548916876574307,282.0,341.0,334.0,341.0,298.14285714285717,294.6607142857143,70.62442582994585
2022-02-10,SARDL,Sardalya Konservesi,445.0,22.85,0,0,2022,2,10,3,6,1,0,0,0.8609645817633761,502.0,611.0,404.0,407.0,435.5,405.1607142857143,95.02850449558119
2022-02-10,SOMON,Somon Konservesi,189.0,66.79,0,0,2022,2,10,3,6,1,0,0,0.8713633398564905,181.0,171.0,176.0,193.0,169.71428571428572,183.75,31.13258895816558
2022-02-10,TON160,Ton Balığı Konservesi 160g,503.0,50.59,0,0,2022,2,10,3,6,1,0,0,0.8942112240388864,517.0,610.0,645.0,571.0,536.1428571428571,540.0491071428571,80.41647545005647
2022-02-10,TON80,Ton Balığı Konservesi 80g,925.0,28.77,0,0,2022,2,10,3,6,1,0,0,0.8712901271956389,866.0,942.0,854.0,862.0,854.4285714285714,828.0,156.11732462356318
2022-02-10,ZEYTY,Zeytinyağı 1L,322.0,208.06,0,0,2022,2,10,3,6,1,0,0,0.8385289672544081,297.0,284.0,306.0,316.0,291.85714285714283,293.0892857142857,68.08677936141144
2022-02-11,SARDL,Sardalya Konservesi,203.0,22.4,0,0,2022,2,11,4,6,1,0,0,0.8440090429540317,445.0,413.0,450.0,450.0,411.7857142857143,406.51785714285717,57.061266155230975
2022-02-11,SOMON,Somon Konservesi,164.0,64.98,0,0,2022,2,11,4,6,1,0,0,0.8477495107632094,189.0,207.0,185.0,258.0,172.28571428571428,183.60714285714286,31.988093022843575
2022-02-11,TON160,Ton Balığı Konservesi 160g,565.0,49.61,0,0,2022,2,11,4,6,1,0,0,0.8768890852850199,503.0,626.0,543.0,524.0,520.8571428571429,537.6205357142857,73.94689213985177
2022-02-11,TON80,Ton Balığı Konservesi 80g,976.0,28.17,0,0,2022,2,11,4,6,1,0,0,0.8531193216232587,925.0,1018.0,854.0,774.0,852.0,830.25,154.6533758657296
2022-02-11,ZEYTY,Zeytinyağı 1L,454.0,216.12,1,0,2022,2,11,4,6,1,0,0,0.8710125944584383,322.0,291.0,297.0,289.0,297.2857142857143,293.30357142857144,68.8663301517616
2022-02-12,SARDL,Sardalya Konservesi,330.0,23.28,0,0,2022,2,12,5,6,1,1,0,0.877166541070083,203.0,370.5,347.0,244.0,381.7857142857143,397.69642857142856,97.31900171722934
2022-02-12,SOMON,Somon Konservesi,151.0,66.21,0,0,2022,2,12,5,6,1,1,0,0.8637964774951075,164.0,148.0,141.0,132.0,166.14285714285714,180.25,28.10355002147454
2022-02-12,TON160,Ton Balığı Konservesi 160g,355.0,49.82,0,0,2022,2,12,5,6,1,1,0,0.8806009721608484,565.0,392.0,425.0,413.0,512.1428571428571,539.0848214285714,62.143459219853064
2022-02-12,TON80,Ton Balığı Konservesi 80g,669.0,27.77,0,0,2022,2,12,5,6,1,1,0,0.8410054512416716,976.0,703.0,643.0,641.0,846.0,837.4642857142857,147.802796545487
2022-02-12,ZEYTY,Zeytinyağı 1L,216.0,215.35,0,0,2022,2,12,5,6,1,1,0,0.8679093198992444,454.0,272.0,262.0,255.0,320.57142857142856,299.19642857142856,90.53518127015072
2022-02-13,SARDL,Sardalya Konservesi,275.0,22.35,0,0,2022,2,13,6,6,1,1,0,0.8421250941974379,330.0,328.0,299.0,315.0,376.0,400.76785714285717,99.28578280230586
2022-02-13,SOMON,Somon Konservesi,136.0,65.06,0,0,2022,2,13,6,6,1,1,0,0.8487932159165036,151.0,113.0,128.0,134.0,166.57142857142858,180.92857142857142,27.80202116667741
2022-02-13,TON160,Ton Balığı Konservesi 160g,385.0,50.92,0,0,2022,2,13,6,6,1,1,0,0.9000441891294741,355.0,484.0,566.5,370.0,506.85714285714283,537.0133928571429,74.42541808510636
2022-02-13,TON80,Ton Balığı Konservesi 80g,622.0,28.73,0,0,2022,2,13,6,6,1,1,0,0.8700787401574802,669.0,580.0,714.0,572.0,841.1428571428571,838.4642857142857,153.72532709503713
2022-02-13,ZEYTY,Zeytinyağı 1L,231.0,216.01,0,0,2022,2,13,6,6,1,1,0,0.8705692695214106,216.0,193.0,220.0,205.0,312.57142857142856,297.80357142857144,97.73067949362532
2022-02-14,SARDL,Sardalya Konservesi,575.0,22.53,1,0,2022,2,14,0,7,1,0,0,0.8489073097211757,275.0,384.0,454.0,429.0,368.42857142857144,399.3392857142857,105.3895269035418
2022-02-14,SOMON,Somon Konservesi,179.0,63.94,0,0,2022,2,14,0,7,1,0,0,0.8341813437703848,136.0,194.0,296.5,160.5,169.85714285714286,181.0,20.923898389390107
2022-02-14,TON160,Ton Balığı Konservesi 160g,610.0,49.35,0,0,2022,2,14,0,7,1,0,0,0.8722934158197083,385.0,568.0,708.0,824.1875,492.7142857142857,537.5491071428571,87.71300603999073
2022-02-14,TON80,Ton Balığı Konservesi 80g,1085.0,28.59,1,0,2022,2,14,0,7,1,0,0,0.8658388855239249,622.0,928.0,971.0,1012.0,847.1428571428571,840.25,142.22333208892326
2022-02-14,ZEYTY,Zeytinyağı 1L,405.0,213.61,1,0,2022,2,14,0,7,1,0,0,0.8608967254408061,231.0,424.0,467.0,259.0,318.0,298.73214285714283,90.79096871385393
2022-02-15,SARDL,Sardalya Konservesi,436.0,22.65,0,0,2022,2,15,1,7,1,0,0,0.8534287867370007,575.0,440.0,429.0,426.0,395.7142857142857,404.55357142857144,131.5671112470923
2022-02-15,SOMON,Somon Konservesi,201.0,66.41,0,0,2022,2,15,1,7,1,0,0,0.8664057403783431,179.0,174.0,200.0,187.0,167.71428571428572,181.66071428571428,18.687913078728002
2022-02-15,TON160,Ton Balığı Konservesi 160g,582.0,48.12,0,0,2022,2,15,1,7,1,0,0,0.8505523641184268,610.0,556.0,767.0,532.0,498.7142857142857,529.8995535714286,94.86607100840347
2022-02-15,TON80,Ton Balığı Konservesi 80g,880.0,28.94,0,0,2022,2,15,1,7,1,0,0,0.8764385221078134,1085.0,944.0,1005.0,785.0,869.5714285714286,842.8571428571429,167.27308723846065
2022-02-15,ZEYTY,Zeytinyağı 1L,317.0,210.99,0,0,2022,2,15,1,7,1,0,0,0.8503375314861461,405.0,282.0,322.0,327.0,315.2857142857143,303.94642857142856,87.31115676268466
2022-02-16,SARDL,Sardalya Konservesi,447.0,23.26,0,0,2022,2,16,2,7,1,0,0,0.8764129615674454,436.0,502.0,409.0,381.0,395.14285714285717,404.9107142857143,131.3512194733755
2022-02-16,SOMON,Somon Konservesi,159.0,66.72,0,0,2022,2,16,2,7,1,0,0,0.870450097847358,201.0,181.0,181.0,243.0,171.57142857142858,182.16071428571428,22.582125253225822
2022-02-16,TON160,Ton Balığı Konservesi 160g,607.0,47.97,0,0,2022,2,16,2,7,1,0,0,0.8479010163499778,582.0,517.0,255.6875,519.0,502.42857142857144,531.6852678571429,97.94191670382537
2022-02-16,TON80,Ton Balığı Konservesi 80g,968.0,28.13,0,0,2022,2,16,2,7,1,0,0,0.8519079345850998,880.0,866.0,866.0,873.0,860.4285714285714,846.25,164.248650063308
2022-02-16,ZEYTY,Zeytinyağı 1L,323.0,223.58,0,0,2022,2,16,2,7,1,0,0,0.9010780856423174,317.0,297.0,341.0,310.0,320.2857142857143,303.5892857142857,86.08080367831589
2022-02-17,SARDL,Sardalya Konservesi,346.0,23.09,0,0,2022,2,17,3,7,1,0,0,0.8700075357950264,447.0,445.0,611.0,402.0,387.2857142857143,407.26785714285717,125.40429855167679
2022-02-17,SOMON,Somon Konservesi,175.0,65.4,0,0,2022,2,17,3,7,1,0,0,0.853228962818004,159.0,189.0,171.0,204.0,168.42857142857142,179.16071428571428,22.58212525322581
2022-02-17,TON160,Ton Balığı Konservesi 160g,548.0,48.0,0,0,2022,2,17,3,7,1,0,0,0.8484312859036677,607.0,503.0,610.0,546.0,515.2857142857143,534.828125,105.76816516279735
2022-02-17,TON80,Ton Balığı Konservesi 80g,792.0,28.03,0,0,2022,2,17,3,7,1,0,0,0.8488794669897032,968.0,925.0,942.0,889.0,875.0,849.6428571428571,169.27295511490692
2022-02-17,ZEYTY,Zeytinyağı 1L,294.0,210.64,0,0,2022,2,17,3,7,1,0,0,0.8489269521410578,323.0,322.0,284.0,293.0,324.0,304.05357142857144,85.46734269103415
2022-02-18,SARDL,Sardalya Konservesi,403.0,22.12,0,0,2022,2,18,4,7,1,0,0,0.8334589299171064,346.0,203.0,413.0,471.0,373.14285714285717,405.26785714285717,123.37669765320156
2022-02-18,SOMON,Somon Konservesi,188.0,65.62,0,0,2022,2,18,4,7,1,0,0,0.856099151989563,175.0,164.0,207.0,193.0,166.42857142857142,178.125,21.022663507566747
2022-02-18,TON160,Ton Balığı Konservesi 160g,581.0,49.06,0,0,2022,2,18,4,7,1,0,0,0.867167476800707,548.0,565.0,626.0,527.0,521.7142857142857,534.8995535714286,106.26337450836378
2022-02-18,TON80,Ton Balığı Konservesi 80g,936.0,27.56,0,0,2022,2,18,4,7,1,0,0,0.8346456692913384,792.0,976.0,1018.0,942.0,856.0,846.1785714285714,170.1871518848195
2022-02-18,ZEYTY,Zeytinyağı 1L,370.0,211.22,0,0,2022,2,18,4,7,1,0,0,0.851264483627204,294.0,454.0,291.0,277.0,320.0,304.0892857142857,86.22837893253784
2022-02-19,SARDL,Sardalya Konservesi,363.5,22.57,0,0,2022,2,19,5,7,1,1,0,0.8504144687264507,403.0,330.0,370.5,304.0,401.7142857142857,402.8392857142857,97.94507693211585
2022-02-19,SOMON,Somon Konservesi,139.0,67.46,0,0,2022,2,19,5,7,1,1,0,0.8801043705153293,188.0,151.0,148.0,105.0,169.85714285714286,177.94642857142858,22.467966614928063
2022-02-19,TON160,Ton Balığı Konservesi 160g,516.5,50.69,0,0,2022,2,19,5,7,1,1,0,0.8959787892178523,581.0,355.0,392.0,390.0,524.0,536.828125,107.51434012880955
2022-02-19,TON80,Ton Balığı Konservesi 80g,727.0,27.72,0,0,2022,2,19,5,7,1,1,0,0.8394912174439733,936.0,669.0,703.0,695.0,850.2857142857143,845.9642857142857,166.10911502755667
2022-02-19,ZEYTY,Zeytinyağı 1L,242.0,211.68,0,0,2022,2,19,5,7,1,1,0,0.8531183879093199,370.0,216.0,272.0,245.5,308.0,307.4107142857143,68.49330867561687
2022-02-20,SARDL,Sardalya Konservesi,324.0,22.47,0,0,2022,2,20,6,7,1,1,0,0.846646571213263,363.5,275.0,328.0,328.0,406.5,404.9642857142857,94.61897272746097
2022-02-20,SOMON,Somon Konservesi,128.0,67.94,0,0,2022,2,20,6,7,1,1,0,0.8863666014350945,139.0,136.0,113.0,135.0,168.14285714285714,179.16071428571428,24.511416193470374
2022-02-20,TON160,Ton Balığı Konservesi 160g,452.0,49.9,0,0,2022,2,20,6,7,1,1,0,0.8820150243040211,516.5,385.0,484.0,365.0,547.0714285714286,541.3459821428571,78.66089062733604
2022-02-20,TON80,Ton Balığı Konservesi 80g,725.0,27.28,0,0,2022,2,20,6,7,1,1,0,0.8261659600242277,727.0,622.0,580.0,581.0,858.5714285714286,847.1071428571429,156.7416740402894
2022-02-20,ZEYTY,Zeytinyağı 1L,230.0,214.29000000000002,0,0,2022,2,20,6,7,1,1,0,0.8636372795969774,242.0,231.0,193.0,214.0,311.7142857142857,307.2857142857143,63.170969824528015
2022-02-21,SARDL,Sardalya Konservesi,389.0,22.52,0,0,2022,2,21,0,8,1,0,0,0.8485305199698568,324.0,575.0,384.0,418.0,413.5,404.82142857142856,84.54535272069467
2022-02-21,SOMON,Somon Konservesi,212.0,64.22,0,0,2022,2,21,0,8,1,0,0,0.8378343118069145,128.0,179.0,194.0,193.0,167.0,178.91071428571428,26.37549367626442
2022-02-21,TON160,Ton Balığı Konservesi 160g,522.0,48.97,0,0,2022,2,21,0,8,1,0,0,0.8655766681396376,452.0,610.0,568.0,768.0,556.6428571428571,544.453125,56.65003257259609
2022-02-21,TON80,Ton Balığı Konservesi 80g,1196.0,28.59,1,0,2022,2,21,0,8,1,0,0,0.8658388855239249,725.0,1085.0,928.0,897.0,873.2857142857143,852.25,134.01954370627462
2022-02-21,ZEYTY,Zeytinyağı 1L,301.0,216.9,0,0,2022,2,21,0,8,1,0,0,0.8741561712846347,230.0,405.0,424.0,307.0,311.57142857142856,307.85714285714283,63.38469095624786
2022-02-22,SARDL,Sardalya Konservesi,509.0,22.36,0,0,2022,2,22,1,8,1,0,0,0.8425018839487566,389.0,436.0,440.0,475.0,386.92857142857144,403.7857142857143,45.57633575609577
2022-02-22,SOMON,Somon Konservesi,179.0,66.68,0,0,2022,2,22,1,8,1,0,0,0.869928245270711,212.0,201.0,174.0,257.0,171.71428571428572,179.58928571428572,31.356627612645042
2022-02-22,TON160,Ton Balığı Konservesi 160g,629.0,47.13,0,0,2022,2,22,1,8,1,0,0,0.8330534688466638,522.0,582.0,556.0,587.0,544.0714285714286,535.6674107142857,52.44396102144706
2022-02-22,TON80,Ton Balığı Konservesi 80g,922.0,28.17,0,0,2022,2,22,1,8,1,0,0,0.8531193216232587,1196.0,880.0,944.0,891.0,889.1428571428571,862.9285714285714,165.9964141896128
2022-02-22,ZEYTY,Zeytinyağı 1L,357.0,210.85,0,0,2022,2,22,1,8,1,0,0,0.8497732997481108,301.0,317.0,282.0,317.0,296.7142857142857,307.64285714285717,48.20689537716324
2022-02-23,SARDL,Sardalya Konservesi,455.0,22.52,0,0,2022,2,23,2,8,1,0,0,0.8485305199698568,509.0,447.0,502.0,454.0,397.35714285714283,405.0,63.50243714858133
2022-02-23,SOMON,Somon Konservesi,203.0,66.71,0,0,2022,2,23,2,8,1,0,0,0.8703196347031962,179.0,159.0,181.0,255.0,168.57142857142858,176.80357142857142,28.941649013472706
2022-02-23,TON160,Ton Balığı Konservesi 160g,503.0,48.6,0,0,2022,2,23,2,8,1,0,0,0.8590366769774636,629.0,607.0,517.0,522.0,550.7857142857143,537.1674107142857,60.49921290318389
2022-02-23,TON80,Ton Balığı Konservesi 80g,972.0,28.47,0,0,2022,2,23,2,8,1,0,0,0.8622047244094487,922.0,968.0,866.0,882.0,895.1428571428571,864.0357142857143,166.36949697528536
2022-02-23,ZEYTY,Zeytinyağı 1L,335.0,217.87,0,0,2022,2,23,2,8,1,0,0,0.8780654911838791,357.0,323.0,297.0,334.0,302.42857142857144,309.07142857142856,53.131463192277906
2022-02-24,SARDL,Sardalya Konservesi,480.0,22.19,0,0,2022,2,24,3,8,1,0,0,0.8360964581763377,455.0,346.0,445.0,404.0,398.5,405.0357142857143,64.60714614756894
2022-02-24,SOMON,Somon Konservesi,179.0,66.31,0,0,2022,2,24,3,8,1,0,0,0.8651011089367253,203.0,175.0,189.0,176.0,174.85714285714286,174.94642857142858,31.205921294035242
2022-02-24,TON160,Ton Balığı Konservesi 160g,679.0,47.53,1,0,2022,2,24,3,8,1,0,0,0.8401237295625276,503.0,548.0,503.0,645.0,535.9285714285714,536.4888392857143,57.06606447167814
2022-02-24,TON80,Ton Balığı Konservesi 80g,904.0,28.56,0,0,2022,2,24,3,8,1,0,0,0.8649303452453058,972.0,792.0,925.0,854.0,895.7142857142857,867.25,166.66804761332648
