tarih,urun_kodu,urun_adi,satis_adedi,birim_fiyat,promosyon_var_mi,resmi_tatil_mi
2022-08-10,SARDL,Sardalya Konservesi,548.0,24.57,0,0
2022-08-11,SARDL,Sardalya Konservesi,653.0,24.6,0,0
2022-08-12,SARDL,Sardalya Konservesi,653.0,24.88,0,0
2022-08-13,SARDL,Sardalya Konservesi,408.0,23.99,0,0
2022-08-14,SARDL,Sardalya Konservesi,446.0,23.68,0,0
2022-08-15,SARDL,Sardalya Konservesi,537.5,23.33,0,0
2022-08-16,SARDL,Sardalya Konservesi,629.0,24.22,0,0
2022-08-17,SARDL,Sardalya Konservesi,564.0,23.72,0,0
2022-08-18,SARDL,Sardalya Konservesi,615.0,23.67,0,0
2022-08-19,SARDL,Sardalya Konservesi,653.0,25.23,0,0
2022-08-20,SARDL,Sardalya Konservesi,467.0,24.31,0,0
2022-08-21,SARDL,Sardalya Konservesi,471.0,24.71,0,0
2022-08-22,SARDL,Sardalya Konservesi,653.0,24.07,1,0
2022-08-23,SARDL,Sardalya Konservesi,653.0,24.17,0,0
2022-08-24,SARDL,Sardalya Konservesi,653.0,24.11,1,0
2022-08-25,SARDL,Sardalya Konservesi,620.0,23.41,0,0
2022-08-26,SARDL,Sardalya Konservesi,604.0,23.76,0,0
2022-08-27,SARDL,Sardalya Konservesi,445.0,24.97,0,0
2022-08-28,SARDL,Sardalya Konservesi,458.0,23.9,0,0
2022-08-29,SARDL,Sardalya Konservesi,620.0,25.21,0,0
2022-08-30,SARDL,Sardalya Konservesi,263.0,23.14,0,1
2022-08-31,SARDL,Sardalya Konservesi,333.5,24.46,0,0
2022-09-01,SARDL,Sardalya Konservesi,404.0,24.19,0,0
2022-09-02,SARDL,Sardalya Konservesi,368.0,25.04,0,0
2022-09-03,SARDL,Sardalya Konservesi,300.0,24.16,0,0
2022-09-04,SARDL,Sardalya Konservesi,339.0,24.73,0,0
2022-09-05,SARDL,Sardalya Konservesi,438.0,24.22,0,0
2022-09-06,SARDL,Sardalya Konservesi,632.0,24.47,1,0
2022-09-07,SARDL,Sardalya Konservesi,413.0,24.84,0,0
2022-09-08,SARDL,Sardalya Konservesi,429.0,24.56,0,0
2022-09-09,SARDL,Sardalya Konservesi,445.0,24.3,0,0
2022-09-10,SARDL,Sardalya Konservesi,312.0,24.37,0,0
2022-09-11,SARDL,Sardalya Konservesi,286.0,23.71,0,0
2022-09-12,SARDL,Sardalya Konservesi,390.0,24.78,0,0
2022-09-13,SARDL,Sardalya Konservesi,429.0,24.62,0,0
2022-09-14,SARDL,Sardalya Konservesi,454.0,24.9,0,0
2022-09-15,SARDL,Sardalya Konservesi,424.0,24.18,0,0
2022-09-16,SARDL,Sardalya Konservesi,427.0,23.44,0,0
2022-09-17,SARDL,Sardalya Konservesi,303.0,23.8,0,0
2022-09-18,SARDL,Sardalya Konservesi,287.0,24.11,0,0
2022-09-19,SARDL,Sardalya Konservesi,388.0,25.01,0,0
2022-09-20,SARDL,Sardalya Konservesi,550.0,23.97,1,0
2022-09-21,SARDL,Sardalya Konservesi,402.0,24.21,0,0
2022-09-22,SARDL,Sardalya Konservesi,442.0,24.28,0,0
2022-09-23,SARDL,Sardalya Konservesi,453.0,24.79,0,0
2022-09-24,SARDL,Sardalya Konservesi,318.0,23.53,0,0
2022-09-25,SARDL,Sardalya Konservesi,393.5,24.69,0,0
2022-09-26,SARDL,Sardalya Konservesi,469.0,25.3,0,0
2022-09-27,SARDL,Sardalya Konservesi,411.0,24.4,0,0
2022-09-28,SARDL,Sardalya Konservesi,431.0,25.31,0,0
2022-09-29,SARDL,Sardalya Konservesi,434.0,24.55,0,0
2022-09-30,SARDL,Sardalya Konservesi,424.0,25.64,0,0
2022-10-01,SARDL,Sardalya Konservesi,288.0,24.51,0,0
2022-10-02,SARDL,Sardalya Konservesi,283.0,24.34,0,0
2022-10-03,SARDL,Sardalya Konservesi,499.0,24.14,1,0
2022-10-04,SARDL,Sardalya Konservesi,437.0,24.97,0,0
2022-10-05,SARDL,Sardalya Konservesi,430.0,24.67,0,0
2022-10-06,SARDL,Sardalya Konservesi,653.0,24.59,1,0
2022-10-07,SARDL,Sardalya Konservesi,498.0,24.19,0,0
2022-10-08,SARDL,Sardalya Konservesi,337.0,24.71,0,0
2022-10-09,SARDL,Sardalya Konservesi,321.0,24.79,0,0
2022-10-10,SARDL,Sardalya Konservesi,404.0,23.97,0,0
2022-10-11,SARDL,Sardalya Konservesi,468.0,24.02,1,0
2022-10-12,SARDL,Sardalya Konservesi,423.0,24.8,0,0
2022-10-13,SARDL,Sardalya Konservesi,433.0,24.8,0,0
2022-10-14,SARDL,Sardalya Konservesi,478.0,24.73,0,0
2022-10-15,SARDL,Sardalya Konservesi,325.0,24.63,0,0
2022-10-16,SARDL,Sardalya Konservesi,329.0,24.48,0,0
2022-10-17,SARDL,Sardalya Konservesi,369.0,24.03,0,0
2022-10-18,SARDL,Sardalya Konservesi,495.0,25.68,0,0
2022-10-19,SARDL,Sardalya Konservesi,431.0,23.69,0,0
2022-10-20,SARDL,Sardalya Konservesi,457.0,24.73,0,0
2022-10-21,SARDL,Sardalya Konservesi,395.0,25.53,0,0
2022-10-22,SARDL,Sardalya Konservesi,309.0,24.18,0,0
2022-10-23,SARDL,Sardalya Konservesi,242.0,24.21,0,0
2022-10-24,SARDL,Sardalya Konservesi,462.0,24.58,0,0
2022-10-25,SARDL,Sardalya Konservesi,454.0,24.69,0,0
2022-10-26,SARDL,Sardalya Konservesi,397.0,24.94,0,0
2022-10-27,SARDL,Sardalya Konservesi,379.0,24.75,0,0
2022-10-28,SARDL,Sardalya Konservesi,434.0,24.47,0,0
2022-10-29,SARDL,Sardalya Konservesi,203.0,24.73,1,1
2022-10-30,SARDL,Sardalya Konservesi,426.0,24.2,1,0
2022-10-31,SARDL,Sardalya Konservesi,425.0,25.15,0,0
2022-11-01,SARDL,Sardalya Konservesi,464.0,24.62,0,0
2022-11-02,SARDL,Sardalya Konservesi,481.0,24.37,0,0
2022-11-03,SARDL,Sardalya Konservesi,498.0,24.1,0,0
2022-11-04,SARDL,Sardalya Konservesi,515.0,25.04,0,0
2022-11-05,SARDL,Sardalya Konservesi,251.0,24.22,0,0
2022-11-06,SARDL,Sardalya Konservesi,272.0,25.41,0,0
2022-11-07,SARDL,Sardalya Konservesi,473.0,25.1,0,0
2022-11-08,SARDL,Sardalya Konservesi,440.0,24.99,0,0
2022-11-09,SARDL,Sardalya Konservesi,461.0,25.01,0,0
2022-11-10,SARDL,Sardalya Konservesi,390.0,25.11,0,0
2022-11-11,SARDL,Sardalya Konservesi,434.0,25.73,0,0
2022-11-12,SARDL,Sardalya Konservesi,326.0,25.09,0,0
2022-11-13,SARDL,Sardalya Konservesi,335.0,25.41,0,0
2022-11-14,SARDL,Sardalya Konservesi,434.0,24.91,0,0
2022-11-15,SARDL,Sardalya Konservesi,470.0,25.06,0,0
2022-11-16,SARDL,Sardalya Konservesi,454.0,24.31,0,0
2022-11-17,SARDL,Sardalya Konservesi,496.0,24.43,0,0
2022-11-18,SARDL,Sardalya Konservesi,418.0,25.06,0,0
2022-11-19,SARDL,Sardalya Konservesi,309.0,25.1,0,0
2022-11-20,SARDL,Sardalya Konservesi,264.0,24.81,0,0
2022-11-21,SARDL,Sardalya Konservesi,427.0,24.39,0,0
2022-11-22,SARDL,Sardalya Konservesi,412.0,24.06,0,0
2022-11-23,SARDL,Sardalya Konservesi,405.0,24.66,0,0
2022-11-24,SARDL,Sardalya Konservesi,402.0,25.3,0,0
2022-11-25,SARDL,Sardalya Konservesi,420.0,24.97,0,0
2022-11-26,SARDL,Sardalya Konservesi,348.0,24.87,0,0
2022-11-27,SARDL,Sardalya Konservesi,318.0,25.03,0,0
2022-11-28,SARDL,Sardalya Konservesi,454.0,24.57,0,0
2022-11-29,SARDL,Sardalya Konservesi,653.0,25.25,0,0
2022-11-30,SARDL,Sardalya Konservesi,412.0,24.36,0,0
2022-12-01,SARDL,Sardalya Konservesi,408.0,25.69,0,0
2022-12-02,SARDL,Sardalya Konservesi,413.0,25.76,0,0
2022-12-03,SARDL,Sardalya Konservesi,304.0,25.06,0,0
2022-12-04,SARDL,Sardalya Konservesi,288.0,24.57,0,0
2022-12-05,SARDL,Sardalya Konservesi,437.0,24.65,0,0
2022-12-06,SARDL,Sardalya Konservesi,435.0,25.45,0,0
2022-12-07,SARDL,Sardalya Konservesi,474.0,25.0,0,0
2022-12-08,SARDL,Sardalya Konservesi,414.0,25.04,0,0
2022-12-09,SARDL,Sardalya Konservesi,476.0,24.53,0,0
2022-12-10,SARDL,Sardalya Konservesi,294.0,24.87,0,0
2022-12-11,SARDL,Sardalya Konservesi,339.0,24.71,0,0
2022-12-12,SARDL,Sardalya Konservesi,630.0,24.76,1,0
2022-12-13,SARDL,Sardalya Konservesi,391.0,24.94,0,0
2022-12-14,SARDL,Sardalya Konservesi,431.0,24.9,0,0
2022-12-15,SARDL,Sardalya Konservesi,427.0,25.02,0,0
2022-12-16,SARDL,Sardalya Konservesi,405.0,24.92,0,0
2022-12-17,SARDL,Sardalya Konservesi,322.0,25.09,0,0
2022-12-18,SARDL,Sardalya Konservesi,341.0,24.36,0,0
2022-12-19,SARDL,Sardalya Konservesi,435.0,23.25,0,0
2022-12-20,SARDL,Sardalya Konservesi,432.0,25.35,0,0
2022-12-21,SARDL,Sardalya Konservesi,429.0,24.05,0,0
2022-12-22,SARDL,Sardalya Konservesi,393.0,25.21,0,0
2022-12-23,SARDL,Sardalya Konservesi,466.0,24.72,0,0
2022-12-24,SARDL,Sardalya Konservesi,272.0,25.2,0,0
2022-12-25,SARDL,Sardalya Konservesi,286.0,25.37,0,0
2022-12-26,SARDL,Sardalya Konservesi,439.0,24.77,0,0
2022-12-27,SARDL,Sardalya Konservesi,418.0,25.22,0,0
2022-12-28,SARDL,Sardalya Konservesi,424.0,24.92,0,0
2022-12-29,SARDL,Sardalya Konservesi,470.0,24.78,0,0
2022-12-30,SARDL,Sardalya Konservesi,203.0,24.39,0,0
2022-12-31,SARDL,Sardalya Konservesi,332.0,24.46,0,0
2023-01-01,SARDL,Sardalya Konservesi,203.0,25.08,0,1
2023-01-02,SARDL,Sardalya Konservesi,353.0,25.55,0,0
2023-01-03,SARDL,Sardalya Konservesi,472.0,25.36,0,0
2023-01-04,SARDL,Sardalya Konservesi,415.0,25.31,0,0
2023-01-05,SARDL,Sardalya Konservesi,470.0,24.6,0,0
2023-01-06,SARDL,Sardalya Konservesi,410.0,25.71,0,0
2023-01-07,SARDL,Sardalya Konservesi,338.0,24.93,0,0
2023-01-08,SARDL,Sardalya Konservesi,265.0,25.52,0,0
2023-01-09,SARDL,Sardalya Konservesi,424.0,25.16,0,0
2023-01-10,SARDL,Sardalya Konservesi,433.0,25.39,0,0
2023-01-11,SARDL,Sardalya Konservesi,439.0,25.01,0,0
2023-01-12,SARDL,Sardalya Konservesi,551.0,25.05,0,0
2023-01-13,SARDL,Sardalya Konservesi,432.0,25.35,0,0
2023-01-14,SARDL,Sardalya Konservesi,275.0,26.23,0,0
2023-01-15,SARDL,Sardalya Konservesi,285.0,25.25,0,0
2023-01-16,SARDL,Sardalya Konservesi,415.0,25.63,0,0
2023-01-17,SARDL,Sardalya Konservesi,450.0,25.61,0,0
2023-01-18,SARDL,Sardalya Konservesi,451.0,25.72,0,0
2023-01-19,SARDL,Sardalya Konservesi,384.0,25.22,0,0
2023-01-20,SARDL,Sardalya Konservesi,481.0,25.85,0,0
2023-01-21,SARDL,Sardalya Konservesi,327.0,24.87,0,0
2023-01-22,SARDL,Sardalya Konservesi,314.0,24.76,0,0
2023-01-23,SARDL,Sardalya Konservesi,418.0,25.57,0,0
2023-01-24,SARDL,Sardalya Konservesi,462.0,25.42,0,0
2023-01-25,SARDL,Sardalya Konservesi,409.0,25.32,0,0
2023-01-26,SARDL,Sardalya Konservesi,419.0,24.76,0,0
2023-01-27,SARDL,Sardalya Konservesi,419.0,24.8,0,0
2023-01-28,SARDL,Sardalya Konservesi,329.0,25.16,0,0
2023-01-29,SARDL,Sardalya Konservesi,372.0,25.44,0,0
2023-01-30,SARDL,Sardalya Konservesi,443.0,24.39,0,0
2023-01-31,SARDL,Sardalya Konservesi,399.0,25.19,0,0
